id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1394442594076315648,1394442594076315648,2021-05-17 19:59:56 Eastern Daylight Time,2021-05-17,19:59:56,-0400,16105237,pierrebourque,pierrebourque,,'Whale Alert'  Other #art &amp; #NFTs:   https://t.co/825XTbwbpC  https://t.co/AorPAltREr  #nft #nftcollector #nftcollectible #nftart #nftcollectors #NFTdrop  #NFTCommunity  #NFTartist #cryptoart #nftcollectibles #ETH #BTC #DOGE #elon #Ethereum #Bitcoin #Whale #WhaleAlert  https://t.co/CVPfN8SISV,en,[],"['http://oncyber.io/bourqueart', 'http://foundation.app/bourque']",['https://pbs.twimg.com/media/E1oNk9kXMAQbDgP.jpg'],0,1,2,"['art', 'nfts', 'nft', 'nftcollector', 'nftcollectible', 'nftart', 'nftcollectors', 'nftdrop', 'nftcommunity', 'nftartist', 'cryptoart', 'nftcollectibles', 'eth', 'btc', 'doge', 'elon', 'ethereum', 'bitcoin', 'whale', 'whalealert']",[],https://twitter.com/pierrebourque/status/1394442594076315648,False,,1,https://pbs.twimg.com/media/E1oNk9kXMAQbDgP.jpg,,,,,,,[],,,,
1394442562681950210,1394164559070613504,2021-05-17 19:59:49 Eastern Daylight Time,2021-05-17,19:59:49,-0400,2176760072,rodri_amg,SER - HACER - TENER,,"@paul_ironforce @Leandro84D Empecé a meterme gracias a la comunidad, vi que existían esas herramientas y empecé con poco en CAKE para meterlos en el pool, compré a 42 y vengo tranquilo. Ahora estoy viendo que es un mundo enorme, por mi capital ethereum es imposible, seguro investigue las ""nuevas""",es,[],[],[],0,0,1,[],[],https://twitter.com/Rodri_amg/status/1394442562681950210,False,,0,,,,,,,,"[{'screen_name': 'paul_ironforce', 'name': 'Paul - IronForce ⚒', 'id': '138764364'}, {'screen_name': 'Leandro84D', 'name': 'Leandro', 'id': '1313531632142487557'}]",,,,
1394442419534540802,1394442419534540802,2021-05-17 19:59:14 Eastern Daylight Time,2021-05-17,19:59:14,-0400,1090549580,fortressforexin,Fortress_Forexing,,"🔥Read to the end👇👇🔥🔥  Are you looking for a reliable broker. Check this out! To trade volatility indices VIX  https://t.co/yXVND4RYU7  👇 1. Click the link☝️, supply your email. Confirm email in your inbox. dm for help #US #trending #Ethereum #ETH #giveaway #BTC #TRX (15)",en,[],['https://ift.tt/3dDOLdJ'],[],0,0,0,"['us', 'trending', 'ethereum', 'eth', 'giveaway', 'btc', 'trx']",[],https://twitter.com/fortressforexin/status/1394442419534540802,False,,0,,,,,,,,[],,,,
1394442416581664771,1394442416581664771,2021-05-17 19:59:14 Eastern Daylight Time,2021-05-17,19:59:14,-0400,1056263903993311232,average_mod,Retired Genius,,One last time for the people in the way way back!! Take a look $ANKR.X #ANKR Get educated now. Don't miss out! #Web3 #cryptotwitter #CryptoNews #cryptocurrencyNews #Bitcoin $ETH.X #Ethereum #Staking $BTC.X @ankr,en,"[{'screen_name': 'ankr', 'name': 'ankr', 'id': '1010430329218371584'}]",[],[],0,2,3,"['ankr', 'web3', 'cryptotwitter', 'cryptonews', 'cryptocurrencynews', 'bitcoin', 'ethereum', 'staking']","['ankr.x', 'eth.x', 'btc.x']",https://twitter.com/Average_Mod/status/1394442416581664771,False,https://twitter.com/ankr/status/1394321822636822529,0,,,,,,,,[],,,,
1394442366585491457,1394442366585491457,2021-05-17 19:59:02 Eastern Daylight Time,2021-05-17,19:59:02,-0400,1376424319891345410,roosnft,Nifty the Kangaroo,,DANCEDANCE!  Roo #169 has hopped onto the #ETH #Blockchain &amp; is now minted via  @OpenSea  Price:  Ξ0.01  #nft #nftart #nfts #nftartist #nftcollector #nftcommunity #nftcollectors #cryptoart #ethereum #pixelart #opensea   https://t.co/YE6Svf9kXE,en,"[{'screen_name': 'opensea', 'name': 'opensea', 'id': '946213559213555712'}]",['https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/38681749964207511483211364550238885492526953959760271749495421196194409349121'],[],0,0,3,"['eth', 'blockchain', 'nft', 'nftart', 'nfts', 'nftartist', 'nftcollector', 'nftcommunity', 'nftcollectors', 'cryptoart', 'ethereum', 'pixelart', 'opensea']",[],https://twitter.com/RoosNFT/status/1394442366585491457,False,,0,,,,,,,,[],,,,
1394442347509817349,1394442347509817349,2021-05-17 19:58:57 Eastern Daylight Time,2021-05-17,19:58:57,-0400,1377704733637365760,ecom_bizbrain,Mr Biz Brain,,#beeple @beeple #NFT #NFTs #NFTCommunity #nftforsale #domains #cryptodomains #nftdomains #cryptowallet #Bitcoin #btc #eth #ethereum #doge #dogecoin  https://t.co/5gJokoWclU,und,"[{'screen_name': 'beeple', 'name': 'beeple', 'id': '34097500'}]",[],['https://pbs.twimg.com/media/E1oN7J-VoAMSPZJ.jpg'],0,0,1,"['beeple', 'nft', 'nfts', 'nftcommunity', 'nftforsale', 'domains', 'cryptodomains', 'nftdomains', 'cryptowallet', 'bitcoin', 'btc', 'eth', 'ethereum', 'doge', 'dogecoin']",[],https://twitter.com/ecom_bizbrain/status/1394442347509817349,False,,1,https://pbs.twimg.com/media/E1oN7J-VoAMSPZJ.jpg,,,,,,,[],,,,
1394442344368283648,1394442344368283648,2021-05-17 19:58:57 Eastern Daylight Time,2021-05-17,19:58:57,-0400,3187240526,vr_tonio,the tonio,,#SAFEMOON haters gonna be mad at the pre-mined tokens @VitalikButerin #Ethereum is holding 🤣,en,"[{'screen_name': 'vitalikbuterin', 'name': 'vitalik.eth', 'id': '295218901'}]",[],[],0,0,0,"['safemoon', 'ethereum']",[],https://twitter.com/vr_tonio/status/1394442344368283648,False,,0,,,,,,,,[],,,,
1394442342392901636,1394442342392901636,2021-05-17 19:58:56 Eastern Daylight Time,2021-05-17,19:58:56,-0400,1352574395005480962,alemikripto,KRİPTO ALEMİ,,Bu DUMP'I   TINLAMAYAN  KRAL  #XRP oldu.Tebrikler:)) #KRİPTOALEMİ   #IQ #Bitcoin #Ethereum #Altcoin #Trade #kriptopara  #TRX #TRON,tr,[],[],[],0,0,1,"['xrp', 'kri̇ptoalemi̇', 'iq', 'bitcoin', 'ethereum', 'altcoin', 'trade', 'kriptopara', 'trx', 'tron']",[],https://twitter.com/AlemiKripto/status/1394442342392901636,False,,0,,,,,,,,[],,,,
1394442308355981315,1394442308355981315,2021-05-17 19:58:48 Eastern Daylight Time,2021-05-17,19:58:48,-0400,1371049395685224450,dai73949469,Dai,,ComPro.Finace @Airdrop is live!  @Minhkhuezzz  @tuananh52748832   @tuanh80784397 #Airdrop #Bitcoin #Ethereum #bsc #HECOchain #copr,en,"[{'screen_name': 'airdrop', 'name': 'airdrop', 'id': '974724310534443009'}, {'screen_name': 'minhkhuezzz', 'name': 'minh khuê', 'id': '1126159000947445761'}, {'screen_name': 'tuananh52748832', 'name': 'tuan anh', 'id': '1370008077953503235'}, {'screen_name': 'tuanh80784397', 'name': 'd.tuanh', 'id': '1031148930946326528'}]",[],[],0,0,0,"['airdrop', 'bitcoin', 'ethereum', 'bsc', 'hecochain', 'copr']",[],https://twitter.com/Dai73949469/status/1394442308355981315,False,https://twitter.com/ComPro01/status/1393968144268414981,0,,,,,,,,[],,,,
1394442267146874881,1394442267146874881,2021-05-17 19:58:38 Eastern Daylight Time,2021-05-17,19:58:38,-0400,1290195729709846528,seal_nulliah,AttorneySeal.crypto 🇨🇦 🇿🇦,,Investors are confusing Furniture Company Ethan Allen’s Trading symbol ETH for Ethereum! Stock is up almost 50% YTD. Maybe we’re losing Investors to Xerox (XRX) 😂😂😂😂  https://t.co/fiKNW5gSsc,en,[],['https://decrypt.co/71175/ethan-allen-eth-investors-confusing-ethereum'],[],19,19,106,[],[],https://twitter.com/Seal_Nulliah/status/1394442267146874881,False,,0,,,,,,,,[],,,,
